Designator,Mid X,Mid Y,Rotation,Layer
C1,359.85125,-117.635,0.0,top
C2,364.60125,-117.625,0.0,top
C3,369.10125,-117.625,0.0,top
C4,373.345,-118.235,270.0,top
C5,371.575,-126.625,0.0,top
D1,43.4975,-61.34,90.0,bottom
D10,214.9475,-61.34,90.0,bottom
D11,233.9975,-61.34,90.0,bottom
D12,253.0475,-61.34,90.0,bottom
D13,272.0975,-61.34,90.0,bottom
D14,291.1475,-61.34,90.0,bottom
D15,310.1975,-61.34,90.0,bottom
D16,334.01,-61.34,90.0,bottom
D17,353.06,-61.34,90.0,bottom
D18,372.11,-61.34,90.0,bottom
D19,43.4975,-80.39,90.0,bottom
D2,62.5475,-61.34,90.0,bottom
D20,62.5475,-80.39,90.0,bottom
D21,81.5975,-80.39,90.0,bottom
D22,100.6475,-80.39,90.0,bottom
D23,119.6975,-80.39,90.0,bottom
D24,138.7475,-80.39,90.0,bottom
D25,157.7975,-80.39,90.0,bottom
D26,176.8475,-80.39,90.0,bottom
D27,195.8975,-80.39,90.0,bottom
D28,214.9475,-80.39,90.0,bottom
D29,233.9975,-80.39,90.0,bottom
D3,81.5975,-61.34,90.0,bottom
D30,253.0475,-80.39,90.0,bottom
D31,272.0975,-80.39,90.0,bottom
D32,300.6725,-80.39,90.0,bottom
D33,334.01,-80.39,90.0,bottom
D34,353.06,-80.39,90.0,bottom
D35,372.11,-80.39,90.0,bottom
D36,48.26,-99.44,90.0,bottom
D37,72.0725,-99.44,90.0,bottom
D38,91.1225,-99.44,90.0,bottom
D39,110.1725,-99.44,90.0,bottom
D4,100.6475,-61.34,90.0,bottom
D40,129.2225,-99.44,90.0,bottom
D41,148.2725,-99.44,90.0,bottom
D42,167.3225,-99.44,90.0,bottom
D43,186.3725,-99.44,90.0,bottom
D44,205.4225,-99.44,90.0,bottom
D45,224.4725,-99.44,90.0,bottom
D46,243.5225,-99.44,90.0,bottom
D47,262.5725,-99.44,90.0,bottom
D48,281.6225,-99.44,90.0,bottom
D49,305.435,-99.44,90.0,bottom
D5,119.6975,-61.34,90.0,bottom
D50,334.01,-99.44,90.0,bottom
D51,353.06,-99.44,90.0,bottom
D52,372.11,-99.44,90.0,bottom
D53,45.87875,-118.49,90.0,bottom
D54,76.835,-118.49,90.0,bottom
D55,95.885,-118.49,90.0,bottom
D56,114.935,-118.49,90.0,bottom
D57,133.985,-118.49,90.0,bottom
D58,153.035,-118.49,90.0,bottom
D59,172.085,-118.49,90.0,bottom
D6,138.7475,-61.34,90.0,bottom
D60,191.135,-118.49,90.0,bottom
D61,210.185,-118.49,90.0,bottom
D62,229.235,-118.49,90.0,bottom
D63,248.285,-118.49,90.0,bottom
D64,267.335,-118.49,90.0,bottom
D65,298.29125,-118.49,90.0,bottom
D66,55.40375,-137.54,90.0,bottom
D67,86.36,-137.54,90.0,bottom
D68,105.41,-137.54,90.0,bottom
